Follower Athlete ID,Follow Status,Created At
9023136,Accepted,"Jan 20, 2016, 7:22:53 AM"
11246040,Accepted,"Sep 8, 2016, 4:22:55 PM"
11726441,Accepted,"Sep 24, 2016, 5:49:38 PM"
6385009,Accepted,"Jan 5, 2017, 8:33:26 AM"
196487,Accepted,"Sep 20, 2017, 8:20:12 PM"
25162826,Accepted,"Oct 4, 2017, 1:14:01 AM"
26211626,Accepted,"Nov 13, 2017, 12:20:50 AM"
25176501,Accepted,"Nov 24, 2017, 7:35:44 PM"
27675406,Accepted,"Jan 28, 2018, 12:56:25 AM"
25588413,Accepted,"Apr 23, 2018, 9:39:17 PM"
30331034,Accepted,"May 1, 2018, 9:12:24 PM"
21271952,Accepted,"Jun 15, 2018, 1:52:19 AM"
21326647,Accepted,"Sep 19, 2018, 11:03:38 PM"
37164490,Accepted,"Jan 5, 2019, 3:31:12 PM"
40683139,Accepted,"Apr 12, 2019, 4:49:02 PM"
20642580,Accepted,"May 10, 2019, 1:09:46 PM"
44010735,Accepted,"Jul 7, 2019, 11:54:00 PM"
20161000,Accepted,"Jul 9, 2019, 2:04:54 AM"
28736192,Accepted,"Jul 30, 2019, 12:01:57 PM"
43366113,Accepted,"Aug 10, 2019, 1:35:17 PM"
33061218,Accepted,"Aug 13, 2019, 11:15:45 AM"
28439165,Accepted,"Aug 22, 2019, 12:18:12 PM"
40094285,Accepted,"Aug 28, 2019, 2:51:20 AM"
31792476,Accepted,"Aug 29, 2019, 11:00:27 AM"
46776121,Accepted,"Sep 28, 2019, 2:39:05 AM"
34365304,Accepted,"Jan 8, 2020, 2:46:55 AM"
49991965,Accepted,"Mar 21, 2020, 7:39:03 PM"
52678367,Accepted,"Mar 25, 2020, 6:14:50 PM"
51119680,Accepted,"Apr 2, 2020, 10:35:27 PM"
49402347,Accepted,"Apr 7, 2020, 1:51:11 AM"
37142295,Accepted,"Apr 13, 2020, 7:33:14 AM"
18893593,Accepted,"Apr 27, 2020, 11:53:57 PM"
60758554,Accepted,"Jun 9, 2020, 12:37:42 PM"
60059787,Accepted,"Jun 11, 2020, 1:55:04 AM"
34152323,Accepted,"Jun 28, 2020, 7:13:26 PM"
10660862,Accepted,"Jul 11, 2020, 2:04:13 PM"
58039553,Accepted,"Aug 3, 2020, 3:13:25 PM"
59948879,Accepted,"Sep 10, 2020, 9:23:50 PM"
19169461,Accepted,"Sep 18, 2020, 6:38:12 PM"
70480609,Accepted,"Oct 20, 2020, 2:13:16 PM"
