Following Athlete ID,Follow Status,Created At
9023136,Accepted,"Jan 20, 2016, 6:09:08 PM"
11246040,Accepted,"Sep 11, 2016, 10:11:14 PM"
6385009,Accepted,"Sep 15, 2016, 10:59:13 PM"
21326647,Accepted,"Jul 1, 2017, 7:37:13 PM"
25162826,Accepted,"Oct 4, 2017, 1:14:23 AM"
20642580,Accepted,"Oct 6, 2017, 9:35:34 PM"
25588413,Accepted,"Apr 23, 2018, 9:40:11 PM"
21271952,Accepted,"Jul 2, 2018, 10:09:44 PM"
37164490,Accepted,"Dec 15, 2018, 12:47:42 PM"
7378447,Accepted,"Feb 28, 2019, 2:16:52 AM"
40683139,Accepted,"Apr 4, 2019, 10:51:06 AM"
18893593,Accepted,"Jun 18, 2019, 2:32:59 PM"
43723992,Accepted,"Jun 28, 2019, 1:37:30 PM"
44010735,Accepted,"Jul 7, 2019, 9:55:30 PM"
20161000,Accepted,"Jul 9, 2019, 11:03:15 AM"
28736192,Accepted,"Jul 30, 2019, 12:02:20 PM"
33061218,Accepted,"Aug 13, 2019, 11:16:16 AM"
28439165,Accepted,"Aug 22, 2019, 12:23:29 PM"
40094285,Accepted,"Aug 28, 2019, 10:04:18 AM"
31792476,Accepted,"Aug 29, 2019, 11:08:37 AM"
25437879,Accepted,"Aug 29, 2019, 1:13:07 PM"
46776121,Accepted,"Sep 23, 2019, 2:12:00 PM"
34365304,Accepted,"Jan 8, 2020, 7:16:32 PM"
34152323,Accepted,"Mar 16, 2020, 10:52:18 PM"
49991965,Accepted,"Mar 21, 2020, 11:02:25 PM"
51119680,Accepted,"Apr 2, 2020, 10:57:54 PM"
49402347,Accepted,"Apr 7, 2020, 4:24:32 AM"
37142295,Accepted,"Apr 13, 2020, 8:38:57 PM"
60059787,Accepted,"Jun 1, 2020, 10:09:13 PM"
60758554,Accepted,"Jun 8, 2020, 10:18:39 AM"
10660862,Accepted,"Jul 11, 2020, 4:15:36 PM"
58039553,Accepted,"Aug 3, 2020, 3:15:46 PM"
52678367,Accepted,"Aug 30, 2020, 10:23:45 PM"
59948879,Accepted,"Sep 10, 2020, 9:44:16 PM"
19169461,Accepted,"Sep 18, 2020, 6:47:34 PM"
70480609,Accepted,"Oct 21, 2020, 4:26:37 PM"
